DataTimeStamp,E11,E12,E13,E21,E22,E31,E32,E33,D000001,D000002,D000003,D000004,D000005,D000006,D000007,D000008,D000009,D000010,D000011,D000012,D000013,D000014,D000015,D000016,D000017,D000018,D000019,D000020,D000021,D000022,D000023,D000024,D000025,D000026,D000027,D000028,D000029,D000030,D000031,D000032,D000033,D000034,D000035,D000036,D000037,D000038,D000039,D000040,D000041,D000042,D000043,D000044,D000045,D000046,D000047,D000048,D000049,D000050,D000051,D000052,D000053,D000054,D000055,D000062,D000063,D000064,D000065,D000066,D000067,D000068,D000069,D000070,D000071,D000072,D000073,D000074,D000075,D000076,D000077,D000078,D000079,D000080,D000081,D000082,D000083,D000084,D000085,C00001,C00002,C00003,C00004,C00005,C00006,C00007,C00008,C00009,C00010,C00011
2020-11-01,,,,,,,,,1084.254,151,612.212,513913.9530000001,27660.341999999997,60952.867999999995,184104.125,202657.819,3227.901,292.08299999999997,58456.33499999999,295132.38600000006,68430.109,54370.04899999999,10915.716,38859.306000000004,34015.912000000004,33583.683999999994,12869.891999999998,0,0,11794.251999999999,3515.804,234.61399999999998,1251.809,0.122,1241.382,911.696,2481.091,1725.4319999999998,4588.994,112295.98400000001,73257.81,2722.045,1468.834,7382.561,5809.189,2384.087,87137.435,1037.763,0.28600000000000003,504.25300000000004,3507.672,9601.287999999999,22864.088,718.755,1553.9589999999998,97.044,22.769,9.325,8.291,14.647,6.953,2.377,3.367,133.855,113.718,63.622,844.084,7711.898,259.498,6.946,21.39,5118.039000000001,5530.375,2227.4030000000002,1034.1290000000001,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,171292,30193,4227,94280,5553,13911,698,13100,21338.847999999998,7098.346999999999,4102.115,898961.7250000001,24196.885000000006,62531.13299999999,195093.21899999998,215815.39100000003,3718.534,1692.149,61585.836,227643.59400000004,67239.461,57092.95700000002,11600.435000000001,37139.863,35752.80499999999,33273.613,14758.599,32940.542,9890.731000000003,100795.12699999998,28522.456,7171.8189999999995,19765.804000000004,21049.166999999998,10421.292,7918.684999999999,13226.874,12454.894000000002,1137.827,11077.226000000002,5671.609,21870.951,21936.445000000003,68486.17899999999,42190.258000000016,21154.283999999996,46478.452999999994,22105.956000000002,479.068,8703.296,53933.609000000004,87439.92700000003,173974.902,6925.451999999999,12177.740999999998,10104.890999999998,2291.513,1081.3469999999998,528.4250000000001,1434.0790000000002,712.1300000000001,253.71100000000004,157.10399999999998,770.5369999999998,961.6920000000002,411.193,6155.070999999999,65423.905999999995,12468.114,958.9789999999999,231.313,37581.28,43428.87300000001,13252.529000000002,8479.362000000001,,,,,,,,,,,,,66997.78799999999,14979.578999999998,11645.301000000001,5993.227000000001,1585.374,662.5110000000001,337.689,,,,
2021-01-01,129055,24234,3917,88257,15826,58856,2774,55431,601.343,309.794,149.691,765902.8790000001,19470.75,54839.19499999999,180964.063,198611.71899999998,3335.5139999999997,1645.8570000000002,51830.094,158953,33952.844,47243.82799999999,7283.303,29220.657,31876.735000000004,26895.25,14469.724,33345.293,10715.694999999998,96240.89799999999,26019.519999999997,7481.724000000001,20602.590999999997,7897.099,8934.336000000001,7360.859,14966.613000000003,11982.833999999999,1232.5720000000001,10690.140999999996,4684.633,20687.441,24119.542999999998,67753.25799999999,33053.074,17741.725999999995,46596.202999999994,21322.187000000005,506.69000000000005,14703.113,47972.64,71626.734,125948.422,6642.225000000002,8143.993999999997,7250.606,1581.7830000000001,695.3580000000001,395.4149999999999,1170.162,634.233,222.58599999999998,130.359,557.566,924.416,467.46199999999993,5675.3189999999995,63385.852,13441.182999999999,58.85699999999999,219.40600000000003,35463.61300000001,41145.18800000001,13088.796999999999,11457.369999999997,,,,,,,,,,,,,26201.42300000001,21990.641,19413.862999999998,8420.769,2216.017,917.946,525.774,,,,
2021-02-01,96171,18724,2893,69728,8952,51222,2088,48209,3608.278,1216.293,982.84,733299.773,15826.898000000001,50218.71900000001,160177.937,179590.812,2909.569,1322.593,44625.578,140814.062,30882.578,34826.172000000006,6492.762,26280.000000000004,27143.906,25671.156,11716.452999999998,28549.609,9373.517,86744.844,23451.473,6505.84,18498.665,15788.116,7009.524,6625.815000000001,13294.864,11646.688999999998,1141.6429999999998,10848.688000000004,5708.648999999999,18317.348,29799.817,65309.219,27610.211,14467.176,42995.984000000004,20835.699,436.794,18250.394999999997,41270.477000000006,62959.43799999999,110417.781,6641.658000000001,7911.338,6203.942999999999,1365.518,549.1329999999999,359.87,845.1220000000002,532.394,109.38700000000001,94.25200000000001,495.439,817.3279999999999,577.3790000000001,4822.629000000001,57223.437000000005,12949.155000000002,142.51199999999997,181.59099999999998,32250.734000000004,38279.00000000001,10622.012000000002,11112.686000000002,,,,,,,,,,,,,22321.292999999998,17436.94,16572.178,7049.058000000001,1897.9110000000005,658.5190000000001,454.121,,,,
2021-03-01,163308,27707,3834,110907,25690,69200,7875,65183,19233.059,9747.732000000002,996.6199999999999,946373.043,20496.085999999996,58282.31300000001,184893.562,194986.251,2664.0769999999998,1356.7710000000002,57545.157,194016,60048.594,47066.062000000005,10916.648000000003,31976.890000000007,33774.796,31759.421999999995,14125.055000000002,33226.109,10946.303000000002,95242.27999999998,29743.890999999992,6729.842,19390.761,10385.038,9689.673000000003,6405.242,13485.494999999999,12602.16,1011.6419999999999,11012.312,6030.749999999999,22753.770000000004,25968.913,61111.374,31171.390999999996,19928.382,45998.423,22511.566999999992,432.792,17460.605,46200.906,80979.98400000001,163633.187,6450.538000000001,9044.723,9535.026999999998,1949.5670000000002,874.2650000000001,446.8349999999999,1137.2160000000003,603.1899999999999,118.26899999999999,126.267,534.904,849.951,589.2729999999999,5551.013,63579.82799999998,14175.195,328.3829999999999,191.784,36067.92199999999,42810.26599999999,12158.425999999998,10042.327999999998,,,,,,,,,,,,,28223.802,23183.808999999997,17487.323999999997,10672.263,2552.7619999999997,992.5349999999999,573.1050000000001,9442.578,,,
2021-04-01,167132,26960,3593,114453,27311,75977,9642,71570,19440.160000000003,3160.5550000000003,9661.259000000002,831551.25,21918.939,45270.31,156665.309,173520.438,1894.4709999999998,1015.0240000000001,50235.657999999996,175592.562,53628.622,44361.653999999995,7101.064,26817.703,29049.480999999992,29765.559999999994,10868.732000000002,29552.668000000005,9800.252999999999,76321.564,25317.461000000003,5690.323,15269.368999999999,9120.718,8272.349,5056.789,10361.505,11038.139999999998,643.679,9600.576,4745.227,19383.338999999996,24444.298000000003,47997.719999999994,30253.361999999997,18610.899,37075.71800000001,17788.806,331.03,11248.202,41898.159999999996,66998.18699999999,153813.814,5124.939999999999,7584.718000000001,8412.437,1814.1940000000002,665.8170000000001,487.3509999999999,809.508,440.6360000000001,92.84,106.065,719.03,650.6640000000001,558.1160000000001,4951.143,50171.562000000005,10173.99,1895.9629999999997,151.09,29755.658000000003,34099.191999999995,11188.797,5148.5,,,,,,,,,,,,,24099.404000000002,24406.224000000002,15978.6,9222.387,2254.9269999999997,758.7030000000001,593.4309999999999,19288.171,,,
2021-05-01,89785,12241,1766,145048,40248,98282,11297,92926,38768.883,6349.082,21987.763999999996,1409783.5,55897.174,72802.24800000002,265893.75,297830.625,2615.489,1513.333,85687.746,278983.375,90998.90500000001,76034.5,8721.542,54275.59299999999,55539.344000000005,56024.874,15275.438999999998,50401.04599999999,19852.728,125421.376,45576.453,9513.192999999997,23278.156000000003,13593.628999999999,12334.690000000002,7072.216000000002,15456.302,20129.993999999995,1346.327,11340.655999999999,7708.968000000003,32922.02,33100.97,82588.564,54004.359,29886.960000000003,59074.87100000001,30576.921999999995,471.641,19699.938,77073.128,112725.313,236397.18600000002,8875.367,12544.246000000001,13737.892000000002,3064.1690000000003,990.1300000000001,719.8149999999999,945.9309999999999,565.488,100.567,126.74699999999997,1574.145,863.3749999999999,1398.874,9379.025000000001,80471.283,15050.635000000002,87.244,204.417,55572.56000000001,61604.874,20838.266000000003,,,,,,,,,,,,,,46160.712,50401.11,29899.38,14683.905000000002,3629.682,1090.6999999999998,846.568,28497.906999999996,,,
2021-06-01,142560,16963,3608,109605,22958,83765,10257,78998,33420.305,4276.298,19692.679999999997,1144372.25,48051.11,51561.842,218622,255279,2237.738,1380.692,72863.062,225564.125,66765.094,61283.253,3795.032,41180.391,43110.751000000004,45957.092000000004,13175.466999999999,45474.90700000001,14867.337000000001,101252.874,36999.001000000004,8558.669,21123.931,11992.299,10122.251000000002,6476.412,14092.039999999999,16730.337000000003,1366.738,4677.999000000001,3492.853,28864.188000000002,31677.047000000002,67853.68500000001,45992.14200000001,26140.375,54515.68700000001,28704.533000000003,431.88800000000003,13603.18,63436.717000000004,90675.06100000002,191837.75,6568.32,10722.695,7936.228,2016.1630000000002,603.4970000000001,465.88999999999993,700.609,466.38500000000005,62.14,107.66699999999999,1329.887,743.037,779.4699999999999,7605.5430000000015,66685.468,14465.563999999998,87.80000000000001,194.57800000000003,50386.563,55763.532,19955.767000000003,,,,,,,,,,,,,,37301.687,45474.93600000001,20102.003999999997,8636.822000000002,2482.543,665.6320000000001,573.553,25811.093,,,
2021-07-01,119850,17815,3741,79243,4663,91511,8123,86417,30438.655000000002,4107.280999999999,17120.355,1147533.5,48930.346,63647.937999999995,226289.625,262921.375,2298.4450000000006,1387.632,71878.74799999999,206991.125,63201.561,59161.814000000006,3902.21,46029.935,46519.876000000004,45018.845,13703.569000000001,42173.562000000005,16039.827000000001,108201.502,40406.996999999996,8941.787,20946.015,12696.41,9840.579,6752.254000000002,14323.143999999998,17657.369999999995,1671.9490000000003,12820.687000000002,6074.565,29199.139000000006,30545.405000000013,77495.62700000001,43815.251000000004,30992.033,53501.967,30571.385999999995,438.787,16515.211999999996,62852.471,94404.75099999999,162270.75,5939.873,12069.173,6727.772,1343.7049999999997,526.343,367.3999999999999,717.3629999999999,469.11300000000006,69.95700000000001,105.811,1701.9340000000002,708.0110000000001,922.646,7404.457000000001,70984.19000000002,14552.453000000001,52.391000000000005,189.66400000000002,50595.93600000001,55382.751,21751.858999999993,,,,,,,,,,,,,,39115.41000000001,42173.59299999999,22665.633,7445.100999999999,1812.819,596.3079999999999,473.21000000000004,22930.453999999998,,,
2021-08-01,109044,17634,3882,,,87744,6623,82861,31744.828,2502.2190000000005,19761.539000000008,1220180,47397.74699999999,74409.68900000001,237790.5,273679.5,2425.1049999999996,1519.5659999999998,77486.43800000002,228588.875,66483.563,59337.064000000006,4943.509,46311.655999999995,47375.969000000005,48299.18700000001,14870.831999999999,39620.344000000005,16856.102000000003,116017.12500000001,43933.941,9353.684000000001,22500.732999999993,14054.454000000002,12709.164,7149.093000000002,14036.018000000005,18312.421000000002,1486.5569999999998,15988.108999999997,8220.15,29793.467999999997,26338.622999999992,80951.56500000002,46950.65799999999,35235.501000000004,56512.909000000014,31753.765000000007,470.043,16248.843,66679.031,103286.12499999999,179686,5710.219000000001,14672.173999999997,6994.065000000001,1240.5320000000002,576.3840000000001,285.361,755.9549999999997,501.24099999999993,69.794,105.85400000000001,2178.098,753.7820000000002,982.673,7769.279999999999,76115.435,15308.595000000003,1111.261,183.85000000000002,85794.372,60696.84399999999,20929.625000000007,,,,,,,,,,,,,,39606.848,39620.187000000005,24593.695999999996,7750.026,1741.78,646.1780000000001,391.21900000000005,24759.268,,,
2021-09-01,136180,21801,3970,11729,1306,95178,6304,90074,31642.438000000002,4524.065999999999,17210.602,1133761.5,44719.46799999999,70556.31300000001,216453.25,254367.5,1806.171,1354.08,67233.99699999999,215900.5,66769.18900000001,58032.565,6821.635999999999,76762.15599999999,20431.875,42198.316000000006,12826.217,37083.871999999996,15132.398000000003,104488.25200000001,38401.47,8204.895999999997,20023.14,12631.806999999999,11015.932,6038.800000000002,4251.465999999999,18556.267000000003,1576.593,16709.265,7930.482,23569.158,27075.343,74426.375,47267.59700000001,32395.465999999997,52819.185999999994,30028.922,360.65799999999996,15192.063,66075.812,98142.622,192776.125,5389.294999999999,14680.999,7515.799999999999,1422.7269999999999,611.2280000000001,344.64899999999994,701.0880000000001,447.897,68.577,101.51599999999999,1762.1180000000006,714.24,1290.768,6885.049000000001,72826.061,15056.826000000001,2323.249,139.659,90424.59199999999,63507.123999999996,20082.939,44430.981,,,,,,,,,,,,,16970.171,33095.55499999999,24204.562000000005,8622.107000000002,1932.2999999999997,754.3829999999998,467.22599999999994,23596.950000000008,,,
2021-10-01,187854,32597,4291,124246,25024,94255,7233,89164,33680.89,4381.085,19611.967999999997,1134058,36870.245,64640.935,206027,248516.25,1730.8419999999996,1495.191,61759.18800000001,226701,76395.74799999999,60951.5,9988.124,128897.93800000002,0,37521.592,12063.767,36057.689000000006,14544.922,101162.5,32779.119999999995,7371.282,20264.481999999996,12030.874,11539.120999999997,6238.338000000001,3224.877,15865.776000000003,1395.973,14396.187000000002,6752.299999999999,22710.157,33373.909,67822.999,43498.623000000014,25861.595,50188.752,26620.440000000002,336.055,12181.718000000003,61656.876,92780.565,186804.625,6759.054,14960.320999999998,12108.233000000002,2699.2690000000002,1170.972,673.1199999999999,945.239,510.6029999999999,137.81999999999996,116.755,1950.1869999999997,752.0400000000001,1068.782,7952.401000000001,65341.99799999999,13859.967000000002,2823.541,157.004,82421.625,55056.435999999994,21251.481000000003,8248.459,,,,,,,,,,,,,0,27809.031,21960.189,13053.579000000002,3209.881,1308.79,789.868,23568.282000000007,,,
2021-11-01,174933,31352,4186,119740,24070,80310,12854,75850,20545.656000000003,3074.297,9650.204000000003,1010238.25,27107.06,54498.69,175420.5,218465.5,2160.8410000000003,1396.4390000000003,51885,197596.75,61893.37299999999,51318.686,10158.829,104896.43500000001,0,28533.590000000007,11775.159999999998,32573.973000000005,10905.436000000002,88491.25,26344.970999999994,6723.870000000001,19553.625000000004,11408.065,8994.874000000002,6219.238000000001,3042.2969999999996,12471.671999999997,1002.376,11464.378999999999,4965.826,11680.313000000002,18406.717,34785.062,21186.591000000004,17319.030000000002,27786.501,14700.062000000002,197.18,11205.734999999999,52595.125,81040.75,162028.25,6893.969,13916.578,11522.739,3090.9929999999995,1034.764,706.0350000000001,1194.788,584.49,229.589,135.23600000000002,1241.9130000000002,762.4120000000001,977.4130000000001,5843.542,57469.375,12929.032000000003,2246.4590000000003,203.691,65963.31400000001,43860.938,15760.189,8227.346,,,,,,,,,,,,,0,24346.481000000007,18093.344,12717.512000000002,3675.481,1264.351,841.2780000000001,13086.436000000003,,,
